,DATE,ID,STOCK,SECTOR,TYPE,SCORE,TIME,1MReturn,3MReturn,6MReturn,12MReturn
107,2004-04-21,TLPRD7-R,NWN,Utilities,MERGED,0.61316472,10:02:03.400,-0.0431995295063498,0.0398087287401941,0.0639048765055929,0.2300242641459699
108,2004-04-28,TLPRD7-R,NWN,Utilities,MERGED,0.61225256,10:02:04.382,-0.0247904850141802,0.0011637061972065,0.0841152305132875,0.2170170276261765
109,2004-05-05,TLPRD7-R,NWN,Utilities,MERGED,0.46508721,10:02:05.091,0.0099251381618329,0.0213654419026323,0.1445458119551311,0.2877860846849353
110,2004-05-12,TLPRD7-R,NWN,Utilities,MERGED,0.78099256,10:02:06.182,0.0480260422804997,0.0609773755421697,0.2137254267097855,0.3371566150215832
111,2004-05-19,TLPRD7-R,NWN,Utilities,MERGED,0.78079226,10:02:07.095,0.0685610886155887,0.0759898811210846,0.1804295227558703,0.3718641443315648
112,2004-05-26,TLPRD7-R,NWN,Utilities,MERGED,0.78148739,10:02:08.386,0.0481095402326532,0.0578866922028679,0.1780490421422385,0.2909496195372895
113,2004-06-02,TLPRD7-R,NWN,Utilities,MERGED,0.78099961,10:02:09.316,0.0279674346515447,0.0847753860748275,0.1552749513341927,0.295464883790305
114,2004-06-09,TLPRD7-R,NWN,Utilities,MERGED,0.78365809,10:02:10.130,0.0489728971622957,0.114161291454733,0.1369338915478796,0.3064922145428483
115,2004-06-16,TLPRD7-R,NWN,Utilities,MERGED,0.78407845,10:02:10.668,0.0584459346646921,0.0874922537675884,0.1395152034627849,0.3250577711968497
116,2004-06-23,TLPRD7-R,NWN,Utilities,MERGED,0.78464928,10:02:11.485,-0.0150523095543859,0.0331505099913512,0.1234399458677715,0.2432407383140384
117,2004-06-30,TLPRD7-R,NWN,Utilities,MERGED,0.78464928,10:02:12.134,-0.0261393295453758,0.0517565636138842,0.1353621449506062,0.305069792968971
118,2004-03-24,,MHK,,,0.78464928,,-0.0095465661399787,-0.0777540810695757,-0.0100490270773065,0.0614244360276088
